,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,Winner
0,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,-4,-5,-6,-4,-3,-2,1
1,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-3,-4,-5,-6,-4,-3,-2,1
2,2,3,4,5,6,4,0,2,1,1,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,-3,-4,-5,-6,-4,-3,-2,1
3,2,3,4,5,6,4,0,2,1,1,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,-4,-3,-2,1
4,2,3,4,5,6,4,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,-4,-3,-2,1
5,2,3,4,5,6,4,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,-4,-3,-2,1
6,2,3,4,5,6,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,-4,-3,-2,1
7,2,3,4,5,6,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,4,-1,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,-3,-2,1
8,2,3,4,5,6,0,0,2,1,1,0,0,0,1,1,1,0,0,1,0,0,3,0,0,0,0,4,-1,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,-3,-2,1
9,2,3,4,5,6,0,0,2,1,1,0,0,0,1,1,1,0,0,-1,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-2,0,-4,-5,-6,0,-3,-2,1
10,2,3,4,5,6,0,0,2,1,1,0,0,0,1,1,1,0,0,-1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0,-3,0,0,0,0,0,-1,-1,-1,-1,0,4,-1,-1,-2,0,-4,-5,-6,0,-3,-2,1
